FUNC_BEGIN_1: event_handler 118; <Thread ID:140229832783936>
FUNC_END: item_stats_sizes_add 73; <Thread ID:140229730092800>
FUNC_END: do_item_link 73; <Thread ID:140229730092800>
Load: 0x7f89c4bf6c37 Size: 1 ID: 2019 @Ln,Col: 2950,22 Scope: do_store_item; <Thread ID:140229730092800>
Load: 0x7f89c4bf6c40 Size: 8 ID: 2028 @Ln,Col: 2950,22 Scope: do_store_item; <Thread ID:140229730092800>
DEP: SrcID: 2019 DestID: 2028; <Thread ID:140229730092800>
Load: 0x7f89c4bf6c37 Size: 1 ID: 2059 @Ln,Col: 2962,18 Scope: do_store_item; <Thread ID:140229730092800>
Load: 0x7f89c4bf6c40 Size: 8 ID: 2068 @Ln,Col: 2962,18 Scope: do_store_item; <Thread ID:140229730092800>
DEP: SrcID: 2059 DestID: 2068; <Thread ID:140229730092800>
FUNC_END: do_store_item 73; <Thread ID:140229730092800>
FUNC_BEGIN_1: out_string 73; <Thread ID:140229730092800>
FUNC_BEGIN_1: complete_nread_ascii 73; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c98 Size: 1 ID: 14373 @Ln,Col: 1168,33 Scope: complete_nread_ascii; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 14390 @Ln,Col: 1171,14 Scope: complete_nread_ascii; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c99 Size: 1 ID: 14400 @Ln,Col: 1172,21 Scope: complete_nread_ascii; <Thread ID:140229755270912>
DEP: SrcID: 14373 DestID: 14400; <Thread ID:140229755270912>
DEP: SrcID: 14390 DestID: 14400; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c96 Size: 1 ID: 14407 @Ln,Col: 1172,21 Scope: complete_nread_ascii; <Thread ID:140229755270912>
DEP: SrcID: 14373 DestID: 14407; <Thread ID:140229755270912>
DEP: SrcID: 14390 DestID: 14407; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 14413 @Ln,Col: 1172,21 Scope: complete_nread_ascii; <Thread ID:140229755270912>
DEP: SrcID: 14373 DestID: 14413; <Thread ID:140229755270912>
DEP: SrcID: 14390 DestID: 14413; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c90 Size: 4 ID: 14424 @Ln,Col: 1172,41 Scope: complete_nread_ascii; <Thread ID:140229755270912>
DEP: SrcID: 14373 DestID: 14424; <Thread ID:140229755270912>
DEP: SrcID: 14390 DestID: 14424; <Thread ID:140229755270912>
DEP: SrcID: 14413 DestID: 14424; <Thread ID:140229755270912>
FUNC_BEGIN_1: clock_handler 135161; <Thread ID:140229832783936>
Store: 0x7ffe679d1560 Size: 4 ID: 5444 @Ln,Col: 0,0 Scope: ; <Thread ID:140229832783936>
Store: 0x7ffe679d1550 Size: 2 ID: 5446 @Ln,Col: 0,0 Scope: ; <Thread ID:140229832783936>
DEP: SrcID: 5444 DestID: 5446; <Thread ID:140229832783936>
Store: 0x7ffe679d1540 Size: 8 ID: 5448 @Ln,Col: 0,0 Scope: ; <Thread ID:140229832783936>
DEP: SrcID: 5446 DestID: 5448; <Thread ID:140229832783936>
Load: 0x7ffe679d1510 Size: 8 ID: 5496 @Ln,Col: 6232,41 Scope: clock_handler; <Thread ID:140229832783936>
DEP: SrcID: 5465 DestID: 5496; <Thread ID:140229832783936>
FUNC_END: clock_handler 135161; <Thread ID:140229832783936>
FUNC_BEGIN_1: add_msghdr 148; <Thread ID:140229730092800>
FUNC_END: add_msghdr 148; <Thread ID:140229730092800>
FUNC_BEGIN_1: conn_set_state 506; <Thread ID:140229730092800>
FUNC_END: conn_set_state 506; <Thread ID:140229730092800>
FUNC_END: out_string 73; <Thread ID:140229730092800>
FUNC_BEGIN_1: do_item_remove 868; <Thread ID:140229730092800>
Load: 0x7f89c4bf6c34 Size: 2 ID: 2108 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229730092800>
Store: 0x7f89c4bf6c34 Size: 2 ID: 2110 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229730092800>
FUNC_END: do_item_remove 868; <Thread ID:140229730092800>
FUNC_END: complete_nread_ascii 73; <Thread ID:140229730092800>
FUNC_END: complete_nread 73; <Thread ID:140229730092800>
FUNC_BEGIN_1: lru_pull_tail 16045923; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bb8 Size: 8 ID: 310 @Ln,Col: 1161,27 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 310; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd0 Size: 4 ID: 314 @Ln,Col: 1162,21 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 314; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 353 @Ln,Col: 1171,28 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 353; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd9 Size: 1 ID: 364 @Ln,Col: 1171,54 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 364; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd4 Size: 2 ID: 376 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 376; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 376; <Thread ID:140229704914688>
Store: 0x7f89c4bf6bd4 Size: 2 ID: 378 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 378; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bcc Size: 4 ID: 419 @Ln,Col: 1196,22 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 376 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 378 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 382 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 389 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 395 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 404 DestID: 419; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bcc Size: 4 ID: 424 @Ln,Col: 1196,46 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 378 DestID: 424; <Thread ID:140229704914688>
DEP: SrcID: 404 DestID: 424; <Thread ID:140229704914688>
DEP: SrcID: 419 DestID: 424; <Thread ID:140229704914688>
FUNC_BEGIN_1: item_is_flushed 672; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 87 @Ln,Col: 131,20 Scope: item_is_flushed; <Thread ID:140229704914688>
Load: 0x7f89c4bf6be0 Size: 8 ID: 96 @Ln,Col: 131,20 Scope: item_is_flushed; <Thread ID:140229704914688>
DEP: SrcID: 87 DestID: 96; <Thread ID:140229704914688>
DEP: SrcID: 90 DestID: 96; <Thread ID:140229704914688>
DEP: SrcID: 93 DestID: 96; <Thread ID:140229704914688>
FUNC_END: item_is_flushed 672; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 702 @Ln,Col: 1280,29 Scope: lru_pull_tail; <Thread ID:140229704914688>
FUNC_BEGIN_1: do_item_remove 869; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd4 Size: 2 ID: 2108 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229704914688>
Store: 0x7f89c4bf6bd4 Size: 2 ID: 2110 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229704914688>
FUNC_END: do_item_remove 869; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16045923; <Thread ID:140229704914688>
FUNC_BEGIN_1: add_iov 78; <Thread ID:140229730092800>
FUNC_BEGIN_1: do_store_item 74; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 1608 @Ln,Col: 2844,17 Scope: do_store_item; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c99 Size: 1 ID: 1622 @Ln,Col: 2845,41 Scope: do_store_item; <Thread ID:140229755270912>
DEP: SrcID: 1608 DestID: 1622; <Thread ID:140229755270912>
FUNC_BEGIN_1: ensure_iov_space 78; <Thread ID:140229730092800>
FUNC_END: ensure_iov_space 78; <Thread ID:140229730092800>
FUNC_END: add_iov 78; <Thread ID:140229730092800>
FUNC_BEGIN_1: do_item_get 75; <Thread ID:140229755270912>
FUNC_END: do_item_get 75; <Thread ID:140229755270912>
FUNC_BEGIN_1: transmit 147; <Thread ID:140229730092800>
FUNC_END: transmit 147; <Thread ID:140229730092800>
FUNC_BEGIN_1: do_item_link 74; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 1710 @Ln,Col: 515,9 Scope: do_item_link; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 1797 @Ln,Col: 526,9 Scope: do_item_link; <Thread ID:140229755270912>
DEP: SrcID: 1710 DestID: 1797; <Thread ID:140229755270912>
Store: 0x7f89c4bf6c97 Size: 1 ID: 1805 @Ln,Col: 526,9 Scope: do_item_link; <Thread ID:140229755270912>
DEP: SrcID: 1710 DestID: 1805; <Thread ID:140229755270912>
Store: 0x7f89c4bf6c88 Size: 4 ID: 1809 @Ln,Col: 527,18 Scope: do_item_link; <Thread ID:140229755270912>
DEP: SrcID: 1710 DestID: 1809; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c99 Size: 1 ID: 1814 @Ln,Col: 533,31 Scope: do_item_link; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c96 Size: 1 ID: 1820 @Ln,Col: 533,31 Scope: do_item_link; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c90 Size: 4 ID: 1825 @Ln,Col: 533,31 Scope: do_item_link; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 1830 @Ln,Col: 533,31 Scope: do_item_link; <Thread ID:140229755270912>
DEP: SrcID: 1608 DestID: 1830; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 1851 @Ln,Col: 539,5 Scope: do_item_link; <Thread ID:140229755270912>
FUNC_BEGIN_1: get_cas_id 74; <Thread ID:140229755270912>
FUNC_END: get_cas_id 74; <Thread ID:140229755270912>
Store: 0x7f89c4bf6ca0 Size: 8 ID: 1871 @Ln,Col: 539,5 Scope: do_item_link; <Thread ID:140229755270912>
DEP: SrcID: 1814 DestID: 1871; <Thread ID:140229755270912>
DEP: SrcID: 1820 DestID: 1871; <Thread ID:140229755270912>
DEP: SrcID: 1825 DestID: 1871; <Thread ID:140229755270912>
DEP: SrcID: 1830 DestID: 1871; <Thread ID:140229755270912>
DEP: SrcID: 1851 DestID: 1871; <Thread ID:140229755270912>
FUNC_BEGIN_1: item_link_q 146; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c98 Size: 1 ID: 1593 @Ln,Col: 442,39 Scope: item_link_q; <Thread ID:140229755270912>
FUNC_BEGIN_1: do_item_link_q 146; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c98 Size: 1 ID: 2393 @Ln,Col: 418,23 Scope: do_item_link_q; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c98 Size: 1 ID: 2399 @Ln,Col: 419,23 Scope: do_item_link_q; <Thread ID:140229755270912>
Store: 0x7f89c4bf6c78 Size: 8 ID: 2405 @Ln,Col: 422,14 Scope: do_item_link_q; <Thread ID:140229755270912>
Store: 0x7f89c4bf6c70 Size: 8 ID: 2410 @Ln,Col: 423,14 Scope: do_item_link_q; <Thread ID:140229755270912>
DEP: SrcID: 2405 DestID: 2410; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c70 Size: 8 ID: 2413 @Ln,Col: 424,13 Scope: do_item_link_q; <Thread ID:140229755270912>
DEP: SrcID: 2410 DestID: 2413; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c70 Size: 8 ID: 2419 @Ln,Col: 424,23 Scope: do_item_link_q; <Thread ID:140229755270912>
DEP: SrcID: 2393 DestID: 2419; <Thread ID:140229755270912>
DEP: SrcID: 2399 DestID: 2419; <Thread ID:140229755270912>
DEP: SrcID: 2410 DestID: 2419; <Thread ID:140229755270912>
DEP: SrcID: 2413 DestID: 2419; <Thread ID:140229755270912>
Store: 0x7f89c4bf6c18 Size: 8 ID: 2421 @Ln,Col: 424,34 Scope: do_item_link_q; <Thread ID:140229755270912>
DEP: SrcID: 2393 DestID: 2421; <Thread ID:140229755270912>
DEP: SrcID: 2399 DestID: 2421; <Thread ID:140229755270912>
DEP: SrcID: 2410 DestID: 2421; <Thread ID:140229755270912>
DEP: SrcID: 2413 DestID: 2421; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c98 Size: 1 ID: 2436 @Ln,Col: 427,15 Scope: do_item_link_q; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c99 Size: 1 ID: 2444 @Ln,Col: 435,37 Scope: do_item_link_q; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c96 Size: 1 ID: 2450 @Ln,Col: 435,37 Scope: do_item_link_q; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c90 Size: 4 ID: 2455 @Ln,Col: 435,37 Scope: do_item_link_q; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 2460 @Ln,Col: 435,37 Scope: do_item_link_q; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c98 Size: 1 ID: 2471 @Ln,Col: 435,21 Scope: do_item_link_q; <Thread ID:140229755270912>
DEP: SrcID: 2460 DestID: 2471; <Thread ID:140229755270912>
FUNC_END: do_item_link_q 146; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c98 Size: 1 ID: 1601 @Ln,Col: 444,41 Scope: item_link_q; <Thread ID:140229755270912>
FUNC_END: item_link_q 146; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c94 Size: 2 ID: 1880 @Ln,Col: 542,5 Scope: do_item_link; <Thread ID:140229755270912>
DEP: SrcID: 1871 DestID: 1880; <Thread ID:140229755270912>
Store: 0x7f89c4bf6c94 Size: 2 ID: 1882 @Ln,Col: 542,5 Scope: do_item_link; <Thread ID:140229755270912>
DEP: SrcID: 1871 DestID: 1882; <Thread ID:140229755270912>
FUNC_BEGIN_1: item_stats_sizes_add 74; <Thread ID:140229755270912>
FUNC_END: item_stats_sizes_add 74; <Thread ID:140229755270912>
FUNC_END: do_item_link 74; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 2019 @Ln,Col: 2950,22 Scope: do_store_item; <Thread ID:140229755270912>
Load: 0x7f89c4bf6ca0 Size: 8 ID: 2028 @Ln,Col: 2950,22 Scope: do_store_item; <Thread ID:140229755270912>
DEP: SrcID: 2019 DestID: 2028; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c97 Size: 1 ID: 2059 @Ln,Col: 2962,18 Scope: do_store_item; <Thread ID:140229755270912>
Load: 0x7f89c4bf6ca0 Size: 8 ID: 2068 @Ln,Col: 2962,18 Scope: do_store_item; <Thread ID:140229755270912>
DEP: SrcID: 2059 DestID: 2068; <Thread ID:140229755270912>
FUNC_END: do_store_item 74; <Thread ID:140229755270912>
FUNC_BEGIN_1: out_string 74; <Thread ID:140229755270912>
FUNC_BEGIN_1: lru_pull_tail 16045924; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c18 Size: 8 ID: 310 @Ln,Col: 1161,27 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 310; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c30 Size: 4 ID: 314 @Ln,Col: 1162,21 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 314; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c37 Size: 1 ID: 353 @Ln,Col: 1171,28 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 353; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c39 Size: 1 ID: 364 @Ln,Col: 1171,54 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 364; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c34 Size: 2 ID: 376 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 376; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 376; <Thread ID:140229704914688>
Store: 0x7f89c4bf6c34 Size: 2 ID: 378 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 378; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c2c Size: 4 ID: 419 @Ln,Col: 1196,22 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 376 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 378 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 382 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 389 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 395 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 404 DestID: 419; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c2c Size: 4 ID: 424 @Ln,Col: 1196,46 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 378 DestID: 424; <Thread ID:140229704914688>
DEP: SrcID: 404 DestID: 424; <Thread ID:140229704914688>
DEP: SrcID: 419 DestID: 424; <Thread ID:140229704914688>
FUNC_BEGIN_1: transmit 148; <Thread ID:140229730092800>
FUNC_BEGIN_1: item_is_flushed 673; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c37 Size: 1 ID: 87 @Ln,Col: 131,20 Scope: item_is_flushed; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c40 Size: 8 ID: 96 @Ln,Col: 131,20 Scope: item_is_flushed; <Thread ID:140229704914688>
DEP: SrcID: 87 DestID: 96; <Thread ID:140229704914688>
DEP: SrcID: 90 DestID: 96; <Thread ID:140229704914688>
DEP: SrcID: 93 DestID: 96; <Thread ID:140229704914688>
FUNC_END: item_is_flushed 673; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c37 Size: 1 ID: 488 @Ln,Col: 1224,22 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 481 DestID: 488; <Thread ID:140229704914688>
FUNC_END: transmit 148; <Thread ID:140229730092800>
FUNC_BEGIN_1: conn_set_state 507; <Thread ID:140229730092800>
FUNC_END: conn_set_state 507; <Thread ID:140229730092800>
FUNC_BEGIN_1: reset_cmd_handler 91; <Thread ID:140229730092800>
FUNC_BEGIN_1: add_msghdr 149; <Thread ID:140229755270912>
FUNC_BEGIN_1: do_item_unlink_q 144; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 2230 @Ln,Col: 456,23 Scope: do_item_unlink_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 2236 @Ln,Col: 457,23 Scope: do_item_unlink_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c18 Size: 8 ID: 2258 @Ln,Col: 465,21 Scope: do_item_unlink_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c10 Size: 8 ID: 2264 @Ln,Col: 470,13 Scope: do_item_unlink_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c18 Size: 8 ID: 2278 @Ln,Col: 471,13 Scope: do_item_unlink_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c10 Size: 8 ID: 2283 @Ln,Col: 471,40 Scope: do_item_unlink_q; <Thread ID:140229704914688>
DEP: SrcID: 2278 DestID: 2283; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c18 Size: 8 ID: 2286 @Ln,Col: 471,23 Scope: do_item_unlink_q; <Thread ID:140229704914688>
DEP: SrcID: 2278 DestID: 2286; <Thread ID:140229704914688>
Store: 0x7f89c4bf6c70 Size: 8 ID: 2288 @Ln,Col: 471,34 Scope: do_item_unlink_q; <Thread ID:140229704914688>
DEP: SrcID: 2278 DestID: 2288; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 2292 @Ln,Col: 472,15 Scope: do_item_unlink_q; <Thread ID:140229704914688>
DEP: SrcID: 2288 DestID: 2292; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c39 Size: 1 ID: 2300 @Ln,Col: 480,37 Scope: do_item_unlink_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c36 Size: 1 ID: 2306 @Ln,Col: 480,37 Scope: do_item_unlink_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c30 Size: 4 ID: 2311 @Ln,Col: 480,37 Scope: do_item_unlink_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c37 Size: 1 ID: 2316 @Ln,Col: 480,37 Scope: do_item_unlink_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 2327 @Ln,Col: 480,21 Scope: do_item_unlink_q; <Thread ID:140229704914688>
DEP: SrcID: 2316 DestID: 2327; <Thread ID:140229704914688>
FUNC_END: do_item_unlink_q 144; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 768 @Ln,Col: 1301,31 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 767 DestID: 768; <Thread ID:140229704914688>
Store: 0x7f89c4bf6c38 Size: 1 ID: 774 @Ln,Col: 1301,29 Scope: lru_pull_tail; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 778 @Ln,Col: 1302,29 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 728 DestID: 778; <Thread ID:140229704914688>
DEP: SrcID: 774 DestID: 778; <Thread ID:140229704914688>
Store: 0x7f89c4bf6c38 Size: 1 ID: 782 @Ln,Col: 1302,29 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 728 DestID: 782; <Thread ID:140229704914688>
DEP: SrcID: 774 DestID: 782; <Thread ID:140229704914688>
FUNC_BEGIN_1: item_link_q 147; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 1593 @Ln,Col: 442,39 Scope: item_link_q; <Thread ID:140229704914688>
FUNC_BEGIN_1: do_item_link_q 147; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 2393 @Ln,Col: 418,23 Scope: do_item_link_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 2399 @Ln,Col: 419,23 Scope: do_item_link_q; <Thread ID:140229704914688>
Store: 0x7f89c4bf6c18 Size: 8 ID: 2405 @Ln,Col: 422,14 Scope: do_item_link_q; <Thread ID:140229704914688>
Store: 0x7f89c4bf6c10 Size: 8 ID: 2410 @Ln,Col: 423,14 Scope: do_item_link_q; <Thread ID:140229704914688>
DEP: SrcID: 2405 DestID: 2410; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c10 Size: 8 ID: 2413 @Ln,Col: 424,13 Scope: do_item_link_q; <Thread ID:140229704914688>
DEP: SrcID: 2410 DestID: 2413; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c10 Size: 8 ID: 2419 @Ln,Col: 424,23 Scope: do_item_link_q; <Thread ID:140229704914688>
DEP: SrcID: 2393 DestID: 2419; <Thread ID:140229704914688>
DEP: SrcID: 2399 DestID: 2419; <Thread ID:140229704914688>
DEP: SrcID: 2410 DestID: 2419; <Thread ID:140229704914688>
DEP: SrcID: 2413 DestID: 2419; <Thread ID:140229704914688>
Store: 0x7f89c4bf6bb8 Size: 8 ID: 2421 @Ln,Col: 424,34 Scope: do_item_link_q; <Thread ID:140229704914688>
DEP: SrcID: 2393 DestID: 2421; <Thread ID:140229704914688>
DEP: SrcID: 2399 DestID: 2421; <Thread ID:140229704914688>
DEP: SrcID: 2410 DestID: 2421; <Thread ID:140229704914688>
DEP: SrcID: 2413 DestID: 2421; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 2436 @Ln,Col: 427,15 Scope: do_item_link_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c39 Size: 1 ID: 2444 @Ln,Col: 435,37 Scope: do_item_link_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c36 Size: 1 ID: 2450 @Ln,Col: 435,37 Scope: do_item_link_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c30 Size: 4 ID: 2455 @Ln,Col: 435,37 Scope: do_item_link_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c37 Size: 1 ID: 2460 @Ln,Col: 435,37 Scope: do_item_link_q; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 2471 @Ln,Col: 435,21 Scope: do_item_link_q; <Thread ID:140229704914688>
DEP: SrcID: 2460 DestID: 2471; <Thread ID:140229704914688>
FUNC_END: do_item_link_q 147; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c38 Size: 1 ID: 1601 @Ln,Col: 444,41 Scope: item_link_q; <Thread ID:140229704914688>
FUNC_END: item_link_q 147; <Thread ID:140229704914688>
FUNC_BEGIN_1: do_item_remove 870; <Thread ID:140229704914688>
Load: 0x7f89c4bf6c34 Size: 2 ID: 2108 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229704914688>
Store: 0x7f89c4bf6c34 Size: 2 ID: 2110 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229704914688>
FUNC_END: do_item_remove 870; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16045924; <Thread ID:140229704914688>
FUNC_END: add_msghdr 149; <Thread ID:140229755270912>
FUNC_BEGIN_1: conn_shrink 91; <Thread ID:140229730092800>
FUNC_END: conn_shrink 91; <Thread ID:140229730092800>
FUNC_BEGIN_1: conn_set_state 508; <Thread ID:140229755270912>
FUNC_END: conn_set_state 508; <Thread ID:140229755270912>
FUNC_END: out_string 74; <Thread ID:140229755270912>
FUNC_BEGIN_1: conn_set_state 509; <Thread ID:140229730092800>
FUNC_END: conn_set_state 509; <Thread ID:140229730092800>
FUNC_END: reset_cmd_handler 91; <Thread ID:140229730092800>
FUNC_BEGIN_1: do_item_remove 871; <Thread ID:140229755270912>
Load: 0x7f89c4bf6c94 Size: 2 ID: 2108 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229755270912>
