FUNC_BEGIN_1: event_handler 118; <Thread ID:140229832783936>
Load: 0x7f89ccc9b790 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9b9a8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9bbc0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9bdd8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9bff0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9c208 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9c420 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9c638 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9c850 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9ca68 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9cc80 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9ce98 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9d0b0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9d2c8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9d4e0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9d6f8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9d910 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9db28 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9dd40 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9df58 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9e170 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9e388 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9e5a0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9e7b8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9e9d0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9ebe8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9ee00 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9f018 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9f230 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9f448 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9f660 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9f878 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9fa90 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9fca8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccc9fec0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca00d8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca02f0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca0508 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca0720 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca0938 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca0b50 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca0d68 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca0f80 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca1198 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca13b0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca15c8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca17e0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca19f8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca1c10 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca1e28 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca2040 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca2258 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca2470 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca2688 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca28a0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca2ab8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca2cd0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca2ee8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca3100 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca3318 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca3530 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca3748 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca3960 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca3b78 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca3d90 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca3fa8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca41c0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca43d8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca45f0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca4808 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca4a20 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca4c38 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca4e50 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca5068 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca5280 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca5498 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca56b0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca58c8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca5ae0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca5cf8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca5f10 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca6128 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca6340 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca6558 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca6770 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca6988 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca6ba0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca6db8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca6fd0 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca71e8 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca7400 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca7618 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
Load: 0x7f89ccca7830 Size: 1 ID: 5685 @Ln,Col: 1511,16 Scope: lru_maintainer_crawler_check; <Thread ID:140229704914688>
FUNC_END: lru_maintainer_crawler_check 135052; <Thread ID:140229704914688>
FUNC_BEGIN_1: fill_item_stats_automove 111976; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bc8 Size: 4 ID: 2884 @Ln,Col: 731,49 Scope: fill_item_stats_automove; <Thread ID:140229704914688>
FUNC_END: fill_item_stats_automove 111976; <Thread ID:140229704914688>
FUNC_BEGIN_1: fill_slab_stats_automove 111976; <Thread ID:140229704914688>
FUNC_END: fill_slab_stats_automove 111976; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_maintainer_juggle 5348709; <Thread ID:140229704914688>
FUNC_BEGIN_1: slabs_available_chunks 5348709; <Thread ID:140229704914688>
FUNC_END: slabs_available_chunks 5348709; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bc8 Size: 4 ID: 5487 @Ln,Col: 1460,68 Scope: lru_maintainer_juggle; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_pull_tail 16046344; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16046344; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_pull_tail 16046345; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16046345; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_pull_tail 16046346; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bb8 Size: 8 ID: 310 @Ln,Col: 1161,27 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 310; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd0 Size: 4 ID: 314 @Ln,Col: 1162,21 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 314; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 353 @Ln,Col: 1171,28 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 353; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd9 Size: 1 ID: 364 @Ln,Col: 1171,54 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 364; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd4 Size: 2 ID: 376 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 376; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 376; <Thread ID:140229704914688>
Store: 0x7f89c4bf6bd4 Size: 2 ID: 378 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 378; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bcc Size: 4 ID: 419 @Ln,Col: 1196,22 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 376 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 378 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 382 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 389 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 395 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 404 DestID: 419; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bcc Size: 4 ID: 424 @Ln,Col: 1196,46 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 378 DestID: 424; <Thread ID:140229704914688>
DEP: SrcID: 404 DestID: 424; <Thread ID:140229704914688>
DEP: SrcID: 419 DestID: 424; <Thread ID:140229704914688>
FUNC_BEGIN_1: item_is_flushed 705; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 87 @Ln,Col: 131,20 Scope: item_is_flushed; <Thread ID:140229704914688>
Load: 0x7f89c4bf6be0 Size: 8 ID: 96 @Ln,Col: 131,20 Scope: item_is_flushed; <Thread ID:140229704914688>
DEP: SrcID: 87 DestID: 96; <Thread ID:140229704914688>
DEP: SrcID: 90 DestID: 96; <Thread ID:140229704914688>
DEP: SrcID: 93 DestID: 96; <Thread ID:140229704914688>
FUNC_END: item_is_flushed 705; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 702 @Ln,Col: 1280,29 Scope: lru_pull_tail; <Thread ID:140229704914688>
FUNC_BEGIN_1: do_item_remove 910; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd4 Size: 2 ID: 2108 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229704914688>
Store: 0x7f89c4bf6bd4 Size: 2 ID: 2110 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229704914688>
FUNC_END: do_item_remove 910; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16046346; <Thread ID:140229704914688>
FUNC_END: lru_maintainer_juggle 5348709; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_maintainer_bumps 172585; <Thread ID:140229704914688>
FUNC_END: lru_maintainer_bumps 172585; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_maintainer_juggle 5348710; <Thread ID:140229704914688>
FUNC_BEGIN_1: slabs_available_chunks 5348710; <Thread ID:140229704914688>
FUNC_END: slabs_available_chunks 5348710; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bc8 Size: 4 ID: 5487 @Ln,Col: 1460,68 Scope: lru_maintainer_juggle; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_pull_tail 16046347; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16046347; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_pull_tail 16046348; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16046348; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_pull_tail 16046349; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bb8 Size: 8 ID: 310 @Ln,Col: 1161,27 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 310; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd0 Size: 4 ID: 314 @Ln,Col: 1162,21 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 314; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 353 @Ln,Col: 1171,28 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 353; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd9 Size: 1 ID: 364 @Ln,Col: 1171,54 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 364; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd4 Size: 2 ID: 376 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 376; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 376; <Thread ID:140229704914688>
Store: 0x7f89c4bf6bd4 Size: 2 ID: 378 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 378; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bcc Size: 4 ID: 419 @Ln,Col: 1196,22 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 376 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 378 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 382 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 389 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 395 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 404 DestID: 419; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bcc Size: 4 ID: 424 @Ln,Col: 1196,46 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 378 DestID: 424; <Thread ID:140229704914688>
DEP: SrcID: 404 DestID: 424; <Thread ID:140229704914688>
DEP: SrcID: 419 DestID: 424; <Thread ID:140229704914688>
FUNC_BEGIN_1: item_is_flushed 706; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 87 @Ln,Col: 131,20 Scope: item_is_flushed; <Thread ID:140229704914688>
Load: 0x7f89c4bf6be0 Size: 8 ID: 96 @Ln,Col: 131,20 Scope: item_is_flushed; <Thread ID:140229704914688>
DEP: SrcID: 87 DestID: 96; <Thread ID:140229704914688>
DEP: SrcID: 90 DestID: 96; <Thread ID:140229704914688>
DEP: SrcID: 93 DestID: 96; <Thread ID:140229704914688>
FUNC_END: item_is_flushed 706; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 702 @Ln,Col: 1280,29 Scope: lru_pull_tail; <Thread ID:140229704914688>
FUNC_BEGIN_1: do_item_remove 911; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd4 Size: 2 ID: 2108 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229704914688>
Store: 0x7f89c4bf6bd4 Size: 2 ID: 2110 @Ln,Col: 592,9 Scope: do_item_remove; <Thread ID:140229704914688>
FUNC_END: do_item_remove 911; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16046349; <Thread ID:140229704914688>
FUNC_END: lru_maintainer_juggle 5348710; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_maintainer_bumps 172586; <Thread ID:140229704914688>
FUNC_END: lru_maintainer_bumps 172586; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_maintainer_juggle 5348711; <Thread ID:140229704914688>
FUNC_BEGIN_1: slabs_available_chunks 5348711; <Thread ID:140229704914688>
FUNC_END: slabs_available_chunks 5348711; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bc8 Size: 4 ID: 5487 @Ln,Col: 1460,68 Scope: lru_maintainer_juggle; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_pull_tail 16046350; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16046350; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_pull_tail 16046351; <Thread ID:140229704914688>
FUNC_END: lru_pull_tail 16046351; <Thread ID:140229704914688>
FUNC_BEGIN_1: lru_pull_tail 16046352; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bb8 Size: 8 ID: 310 @Ln,Col: 1161,27 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 310; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd0 Size: 4 ID: 314 @Ln,Col: 1162,21 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 314; <Thread ID:140229704914688>
DEP: SrcID: 298 DestID: 314; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd7 Size: 1 ID: 353 @Ln,Col: 1171,28 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 353; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 353; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd9 Size: 1 ID: 364 @Ln,Col: 1171,54 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 310 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 314 DestID: 364; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 364; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bd4 Size: 2 ID: 376 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 376; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 376; <Thread ID:140229704914688>
Store: 0x7f89c4bf6bd4 Size: 2 ID: 378 @Ln,Col: 1177,13 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 119 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 167 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 353 DestID: 378; <Thread ID:140229704914688>
DEP: SrcID: 364 DestID: 378; <Thread ID:140229704914688>
Load: 0x7f89c4bf6bcc Size: 4 ID: 419 @Ln,Col: 1196,22 Scope: lru_pull_tail; <Thread ID:140229704914688>
DEP: SrcID: 376 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 378 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 382 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 389 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 395 DestID: 419; <Thread ID:140229704914688>
DEP: SrcID: 404 DestID: 419; <Thread ID:140229704914688>
